"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.274717392125585,1.84586260006426,-3.9009139101511,4.45034869440227,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.274280520401438,1.61016744875362,-2.88158968823441,3.43015072903728,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.26731802778189,1.34677349687113,-4.90694557698237,0.372309521418583,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.26731802778189,0.706816868431727,-3.86624886949132,-0.668387186072468,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.30239289143189,1.35838473165575,-4.96477804262627,0.359992259762489,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.84031407849983,1.41199451058537,-0.92714430861575,4.60777246561541,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.84031407849983,0.704890874112153,0.245740138635936,3.43488801836373,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.90165924612654,1.46096720680113,-0.961783861797759,4.76510235405084,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.589607511487836,1.53047140984822,-2.41006133118291,3.58927635415858,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.589607511487836,1.46452020339848,-2.72336735669271,3.90258237966839,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.529500905563262,1.59505683192796,-2.5967530383101,3.65575484943663,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.446645521170614,1.89735431154739,-4.16539163771529,3.27210059537406,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.446645521170614,2.04834679016387,-5.08032788443452,4.18703684209329,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.0773977665110106,1.77687652219426,-3.40521622196452,3.56001175498654,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.54290566054369,1.5842021277031,-5.64788477507349,0.562073453986111,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.54290566054369,1.76753447423648,-6.54134643193051,1.45553511084313,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.50221745718333,1.58312143429561,-5.60507845155612,0.600643537189469,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",2.06996675951556,1.56597302797486,-0.999283976076299,5.13921749510741,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",2.06996675951556,1.23365196697161,-0.720747873969357,4.86068139300047,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",2.06404629561666,1.56812523929478,-1.00942269664935,5.13751528788268,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.00586478142689,1.54803460194697,-5.03995684806476,1.02822728521098,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.00586478142689,1.72175628533105,-5.90074809488136,1.88901853202758,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.3662094174732,1.55413787862476,-5.41226368658722,0.679844851640813,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.878700274317555,1.50056573425315,-2.06235452125352,3.81975506988863,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.878700274317555,1.58866578726565,-2.71511141563788,4.47251196427299,TRUE,10
